Dokumen,Acara,Username,Tweet,Kelas
test1,Tukang Ojek Pengkolan,arjunpratama87 ,@TOP_RCTI Tolong dong jangan terlalu lama. Acara ojek pengkolan kurang TOP. Gak sabar nunggu Dunia kebalik.,-1
test2,Tukang Ojek Pengkolan,AvrillaZulu,@TOP_RCTI jangan terlalu lama durasinya siaran yg lain jd sebntar n jadi lama nunggunya karna terlalu mlm,-1
test3,Tukang Ojek Pengkolan,asepanak3,Pingin nonton @TOP_RCTI,1
test4,Tukang Ojek Pengkolan,SitiBellaIra1 ,@TOP_RCTI tolong dong jam tayang di tambah,1
test5,Tukang Ojek Pengkolan,nidya_Gustina,wah gak sabar pengen nonton @TOP_RCTI,1
test8,Tukang Ojek Pengkolan,RereHer,@aseli_top jngn mlm2 dunk min tayangny..!! :(,-1
test9,Tukang Ojek Pengkolan,riangomes1 ,Tukang ojeg keren abis.nonton top sambil ngemil biskuit legend haha hah sukses selalu buat #rcti @TOP_RCTI,1
test13,Tukang Ojek Pengkolan,AminMbois,@TOP_RCTI top paling top,1
test14,Tukang Ojek Pengkolan,Ipung_Starpanrz ,@TOP_RCTI Makin Seru Aja Sinetronnya,1
test15,Tukang Ojek Pengkolan,DhanKoembara ,@TOP_RCTI.TOP Semakin sini semakin seru pokonya jangan sampai ketinggalan deh,1
test16,Tukang Ojek Pengkolan,wandimboiz ,@TOP_RCTI saya sangat terhibur dg nie acara.....,1
test17,Tukang Ojek Pengkolan,ANDRI78226054 ,@TOP_RCTI kocak,1
test18,Tukang Ojek Pengkolan,Bagas_Aditya87 ,@TOP_RCTI lucuu banget sinetron nya,1
test19,Tukang Ojek Pengkolan,purisampalan,@TOP_RCTI sore2 enaknya nonton TOP,1
test20,Tukang Ojek Pengkolan,dani_eizza ,@TOP_RCTI seru banget,1
test21,Berkah Cinta,IsId489,Dlm keadaan gawat darurat masih sempat iklan #BerkahCinta,-1
test22,Berkah Cinta,kippung_eva,Makin greget sama #BerkahCinta makin gemes @SCTV_ eros tania banyak rintangan banget si @ibell234 @Ibel234 @Giorgino_Abr,1
