Dokumen,Username,Acara,Tweet,Kelas
train1,vitaxxi92,Tukang Ojek Pengkolan,"@TOP_RCTI @OfficialRCTI Tolong kalau setelah iklan adegan yang sebelumnya jangan diulang"" lagi. Terima kasih",-1
train2,7adoel,Tukang Ojek Pengkolan,@Top_rcti wooi tukang ojek pengkolan kok nggak tayang @OfficialRCTI,-1
train3,Sobariahmed82 ,Tukang Ojek Pengkolan,@TOP_RCTIfilm pling enak di tonton tingkatkan trz RCTI tayangan TOP byk yg suka nonton bareng oke deh,1
train4,DepoxNax ,Tukang Ojek Pengkolan,@TOP_RCTI pokoknya TOP mantab jiwa wkwkwk,1
train5,DepoxNax ,Tukang Ojek Pengkolan,@TOP_RCTI mantap jiwa deh pokoknya,1
train6,Ekos19918781 ,Tukang Ojek Pengkolan,"@TOP_RCTI sedih banget klo acarane udahan krn blm puas lht mba ratna yg chantik...",-1
train7,Dodo27627092ï¿½,Tukang Ojek Pengkolan,@TOP_RCTI makin seru ajah,1
train8,arjunpratama87 ,Tukang Ojek Pengkolan,"@TOP_RCTI tukang ojek pengkolan membosankan terlalu dibuat2.terus lama banget kelarnya. Menjengkelkan.!!!!!",-1
train9,fandi08985811,Tukang Ojek Pengkolan,@TOP_RCTI : hebat dan lucu haha,1
train10,om_jhony69 ,Tukang Ojek Pengkolan,"@TOP_RCTI kok hari ini episode TOP di ulangi jdi nggak seru nontonnya",-1
train11,AdriantoLukman,Tukang Ojek Pengkolan,@TOP_RCTI sipp banget acra e,1
train12,A_F_R1993 ,Tukang Ojek Pengkolan,@TOP_RCTI pemain yg dulu pada kemana kurang seru,-1
