Dokumen,Acara,Username,Tweet,Kelas
test1,Tukang Ojek Pengkolan,@arjunpratama87 ,"@TOP_RCTI Tolong dong,jangan terlalu lama. Acara ojek pengkolan kurang TOP. Gak sabar nunggu Dunia kebalik.",-1
test2,Tukang Ojek Pengkolan,@AvrillaZulu,"@TOP_RCTI jangan terlalu lama durasinya, siaran yg lain jd sebntar n jadi lama nunggunya karna terlalu mlm,,",-1
test3,Tukang Ojek Pengkolan,@asepanak3,Pingin nonton @TOP_RCTI,1
test4,Tukang Ojek Pengkolan,@SitiBellaIra1 ,@TOP_RCTI tolongdong jam tayang di tambahin,1
test5,Tukang Ojek Pengkolan,@Arzanito,"@TOP_RCTI . Siapa sih nama lakon yg bicaranya kaya' org mabok minuman?, yg rmbutx ky Rhoma muda, maaf, sungguh sy tdk suka karakter peranx.",-1
test6,Tukang Ojek Pengkolan,@gusar140295 ,@TOP_RCTI film TOP lucu,1
test7,Tukang Ojek Pengkolan, @omarbociel,@TOP_RCTI #DramaSeriesTerbaik Mantap TOP Bikin suasana sore tambah ceria Nonton TOP di temani secangkir kopii.. Serasa dunia ane yg punyaa,1
test8,Tukang Ojek Pengkolan,@RereHer,@aseli_top jngn mlm2 dunk min tayangny..!! :(,-1
test9,Tukang Ojek Pengkolan,@riangomes1 ,Tukang ojeg keren abis.nonton top sambil ngemil biskuit legend haha hah sukses selalu buat #rcti @TOP_RCTI,1
test10,Tukang Ojek Pengkolan,@edho_86,Wow senangnya liat para pemain TOP @TOP_RCTI cuma masukan untk keselamatan di jln ada baiknya helmnya di pasang dgn baik ya#savety,1
,berkah Cinta,IsId489,Dlm keadaan gawat darurat masih sempat2ny iklan #BerkahCinta,-1
,,kippung_eva,Makin gereget sama #BerkahCinta makin ngegemesinnn @SCTV_ eros tania banyak rintangan banget si @ibell234 @Ibel234 @Giorgino_Abr,1
