Dokumen,Acara,Username,Tweet,Kelas,,,,,,,,,,,,,,,
test1,Tukang Ojek Pengkolan,@arjunpratama87ï¿½,"@TOP_RCTI Tolong dong,jangan terlalu lama. Acara ojek pengkolan kurang TOP. Gak sabar nunggu Dunia kebalik.",-1,,,,,,,,,,,,,,,
test2,Tukang Ojek Pengkolan,@AvrillaZulu,"@TOP_RCTI jangan terlalu lama durasinya, siaran yg lain jd sebntar n jadi lama nunggunya karna terlalu mlm,,",-1,,,,,,,,,,,,,,,
test3,Tukang Ojek Pengkolan,@asepanak3,Pingin nonton @TOP_RCTI,1,,,,,,,Tukang Ojek Pengkolan,@Ekos19918781ï¿½,@TOP_RCTI kasihan mba Ratna jd cemburu lht bang Ojak sm tmn cwe baru'y... Yg sabar ya mba Ratna... hehee....,1,,,,,
test4,Tukang Ojek Pengkolan,@SitiBellaIra1ï¿½,@TOP_RCTI tolongdong jam tayang di tambahin,1,,,,,,,Tukang Ojek Pengkolan,@Arzanito,"@TOP_RCTI . Siapa sih nama lakon yg bicaranya kaya' org mabok minuman?, yg rmbutx ky Rhoma muda, maaf, sungguh sy tdk suka karakter peranx.",-1,,Tukang Ojek Pengkolan,@Arzanito,"@TOP_RCTI . Siapa sih nama lakon yg bicaranya kaya' org mabok minuman?, yg rmbutx ky Rhoma muda, maaf, sungguh sy tdk suka karakter peranx.",-1
test5,Tukang Ojek Pengkolan,@Arzanito,"@TOP_RCTI . Siapa sih nama lakon yg bicaranya kaya' org mabok minuman?, yg rmbutx ky Rhoma muda, maaf, sungguh sy tdk suka karakter peranx.",-1,,,,,,,Tukang Ojek Pengkolan,ErnaNazrielï¿½,@TOP_RCTI abis maghrib emang paling pas nonton TOP yg keren dan lucu . . @OfficialRCTI Emang OK,1,,,,,
test6,Tukang Ojek Pengkolan,@gusar140295ï¿½,@TOP_RCTI film TOP lucu,1,,,,,,,Dunia Terbalik,nadaristantia23,@DT_RCTI seneng pisan episode hari ini yg ke 158 full  aceng @sutansimatupang resep uy bersambungnya juga kang aceng #DuniaTerbalikRCTI,1,,NovaArianty1,"@TOP_RCTI lebih suka sm pemain yg dulu,aplgi setelah mpok tati meninggal,makin gak seru",-1,
test7,Tukang Ojek Pengkolan,ï¿½@omarbociel,@TOP_RCTI #DramaSeriesTerbaik Mantap TOP Bikin suasana sore tambah ceria Nonton TOP di temani secangkir kopii.. Serasa dunia ane yg punyaa,1,,,,,,,Dunia Terbalik,IslamiatiYuli,Kalo liat @DT_RCTI suka gak kontrol ketawa ?ï¿½ï¿½?ï¿½ï¿½ï¿½ apalagi kalo mereka ber 4 udah bersatu @sutansimatupang @Benk08905656 @birowo @aguskuncoroadi,1,,Abdulwa25888234 ,@TOP_RCTI pemain yg dulu pada kemana kurang seru,-1,
test8,Tukang Ojek Pengkolan,@RereHer,@aseli_top jngn mlm2 dunk min tayangny..!! :(,-1,,,,,,,Dunia Terbalik,prastiob000,RT @DT_RCTI: Malam ini jangan dilewatkan  #DramaSeriesTerbaik #DuniaTerbalikRCTI OfficialRCTI https://t.co/0pTNjV7yYe,1,,pdehanif ,@TOP_RCTI isinya iklan mulu sekarang @MNC_Pictures @OfficialRCTI .. :(,-1,
test9,Tukang Ojek Pengkolan,@riangomes1ï¿½,Tukang ojeg keren abis.nonton top sambil ngemil biskuit legend haha hah sukses selalu buat #rcti @TOP_RCTI,1,,,,,,,Dunia Terbalik,SupperFanzz,#AkuPernah nyesel waktu itu gx nonton Dunia Terbalik @DT_RCTI @DT_mncp Eps. 1. Darisitu gua smpe skarang nonton trs gx prnah ktinggalan Eps.,1,,,,,
test10,Tukang Ojek Pengkolan,@edho_86,Wow senangnya liat para pemain TOP @TOP_RCTI cuma masukan untk keselamatan di jln ada baiknya helmnya di pasang dgn baik ya#savety,1,,,,,,,Anak Langit,HidayatunNimah_,Cuma nongol satu scene??Ùªï¿½Okelah gapapa sedikit terhibur sm wajahmu bang @hitocaesar #AnakLangit @AnakLangitSCTV_ @SCTV_ @AkbarBhakti,1,,,,,
,berkah Cinta,IsId489,Dlm keadaan gawat darurat masih sempat2ny iklan #BerkahCinta,-1,,,,,,,Anak Langit,HidayatunNimah_,#AnakLangit lebih awal dan nggak ada jeda iklan. yuhuu @hitocaesar @AkbarBhakti @AnakLangitSCTV_ @SCTV_,1,,,,,
,,kippung_eva,Makin gereget sama #BerkahCinta makin ngegemesinnn @SCTV_ eros tania banyak rintangan banget si @ibell234 @Ibel234 @Giorgino_Abr,1,,,,,,,Anak Langit,dillabungatj,Asli mewekx @Yoelitta_Palar #anaklangit @SCTV_ @AnakLangitSCTV_ https://t.co/kwQUtNpMsY,1,,,,,
,,,,,,,,,,,Anak Langit,ahmadri24606577,@verawat24528833 @AnakLangitSCTV_ bikin nangis ketika tante lolita sdh ngasih tau ke AL klo AL adlh anak kandungnya.,1,,,,,
,,,,,,,,,,,Anak Langit,ANa_Olga08,@iraner_1 @AnakLangitSCTV_ @SCTV_ Sedih yaa..tinggal andra nih yg blm tau anak siapa??,1,,,,,
,Tukang Ojek Pengkolan,NovaArianty1,"@TOP_RCTI lebih suka sm pemain yg dulu,aplgi setelah mpok tati meninggal,makin gak seru",-1,,,,,,,Berkah Cinta,fuzi_uzie,@WinlyWin bosennya liat ibel dpsngn sm gio mulukarakter di perannya jg sm aj ga brubah.Dgn adanya Tama BC jd lbh brwarna @SCTV_ #BerkahCinta,-1,,,,,
,Tukang Ojek Pengkolan,Abdulwa25888234ï¿½,@TOP_RCTI pemain yg dulu pada kemana kurang seru,-1,,,,,,,Berkah Cinta,hery_2499,#BerkahCinta keren ka venus dan pak andika drpd bosen uplek terus di rumah tama @itssheilaMJ @Tino_Darso,-1,,,,,
,Tukang Ojek Pengkolan,pdehanifï¿½,@TOP_RCTI isinya iklan mulu sekarang @MNC_Pictures @OfficialRCTI .. :(,-1,,,,,,,Berkah Cinta,mdfkrloh ,"@BC_SCTV blm apa"" udh ada yg meninggal. Antagonisnya tidak sebagus ira prabowo.",-1,,,,,
,Dunia Terbalik,YGYNTRï¿½,baru juga mulai udh iklan aja..kelamaan di iklan sekrang!,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,wa_onezzï¿½,"@DT_RCTI ,, Interupsi nih... Koq iklannya sering banget c??",-1,,,,,,,,,,,,,,,
,Dunia Terbalik,fiouchiinï¿½,cucu sm emaknya jgn terlalu lebay atuh nangis muluk deh -_-,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,Lapendo64015468,kang mlm ini iklan nya bnyak bngt,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,syahrihamdany,ngeri iklannya buaannnnyyyyaaakkkkk bet,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,Bang_Obendï¿½,@DT_RCTI iklannya lama pisan dudududu #DuniaTerbalik21,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,hilmanxrizkyï¿½,@DT_RCTI iklan nya kebanyakan durasi nya cuman bentar.,-1,,,,,,,,,,,,,,,
,Dunia Terbalik,joajo_id,@DT_RCTI banyak iklan ga kayak episode2 lalu,-1,,,,,,,,,,,,,,,
,Anak Langit,moldymessy,@AkbarBhakti @SCTV_ mles bkan sama raya,-1,,,,,,,,,,,,,,,
,Anak Langit,anwar03609351,jangan malam malam pak siaranya,-1,,,,,,,,,,,,,,,
,Anak Langit,SamplingAï¿½,@AnakLangitSCTV Jgn Suka Ngulang Dong... Sdh Iklannya Panjang. Jadi Ngantuk Nontonya,-1,,,,,,,,,,,,,,,
,Anak Langit,masda_yh,@AnakLangitSCTV_ @OFC_AnakLangit Males banget liat mama lebay #AnakLangit,-1,,,,,,,,,,,,,,,
,Anak Langit,hyi_hyiï¿½,"@AnakLangitSCTV_ makin gak jelas cerita anak langit, krn sbg ibu kandung Al, sering memanfaatkan Al utk kepetingannya. Edukasi tidak baik.",-1,,,,,,,,,,,,,,,
,Anak Langit,LuCky29072726,@AnakLangitSCTV_ kebanyakan iklan,-1,,,,,,,,,,,,,,,
,Berkah Cinta,irwan15061993ï¿½,gga bagus filmnya muter2,-1,,,,,,,,,,,,,,,
