Dokumen,Acara,Username,Tweet,Kelas
test1,Tukang Ojek Pengkolan,ANDRI78226054 ,@TOP_RCTI kocak,1
test2,Tukang Ojek Pengkolan,Bagas_Aditya87 ,@TOP_RCTI lucuu banget sinetron nya,1
test3,Tukang Ojek Pengkolan,purisampalan,@TOP_RCTI sore2 enaknya nonton TOP,1
test4,Tukang Ojek Pengkolan,dani_eizza ,@TOP_RCTI seru banget,1
test5,Berkah Cinta,ErniIndrawati_,Kok gue kesel ya sama yg nmanya sarah itu munafik bnget @BC_SCTV #BerkahCinta,-1
test6,Berkah Cinta,layyajah ,Njs ngelihat muka tante sarah itu! Bikin males nonton gak layak ada di sinetron ini!ada perempuan itu~ @BerkahCinta_ @BC_SCTV #BerkahCinta,-1
test7,Berkah Cinta,heris_40,@BC_SCTV sinetron kejam banget lebih kejam dari anugrah cinta wanita pun mau di jatuhkan di kali.cc@KPI_Pusat,-1
test8,Berkah Cinta,Aqmals,Kesel eh liat venus makan ati #BerkahCinta,-1
test9,Dunia Terbalik,adi_sopandi34,@DT_RCTI sudah siap2 nungguin acara paling seruu!!! Hahaaa #DuniaTerbalikRCTI,1
test10,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Semakin Lucu Dan menarik cerita drama nya sih aceng sma edoy sih akum sma Dadang sih dikatain sih aceng,1
test11,Dunia Terbalik,faisalbudipras3,@DT_RCTI @DikST04 Seru enak Nonton dunia terbalik hanya di rcti Oke paling no.1 indosia para tokoh nya lebih seru https://t.co/hn1Zdsh8rl,1
test12,Dunia Terbalik,asep_iden,Mantap #TabligAkbar,1
test13,Anak langit,DokterC66421551 ,@AnakLangitSCTV_ cerita cinta nya seru,1
test14,Anak langit,wwwpeleng_com,jangan terlalu banyak donk iklannya bikin bete aja,-1
test15,Anak langit,lobin_hot ,@AnakLangitSCTV_ mantap kata anak saya,1
test16,Anak langit,wandi_naziha ,tolong jgn terlalu banyak hayalan jd ga seru nonton nya..,-1
