Dokumen,Acara,Username,Tweet,Kelas
train1,Tukang Ojek Pengkolan,(a)vitaxxi92,"(a)TOP_RCTI (a)OfficialRCTI Tolong kalau setelah iklan adegan yang sebelumnya jangan diulang"" lagi. Terima kasih",-1
train2,Tukang Ojek Pengkolan,(a)7adoel,(a)Top_rcti wooi tukang ojek pengkolan kok nggak tayang (a)OfficialRCTI,-1
train3,Tukang Ojek Pengkolan,(a)Sobariahmed82 ,"(a)TOP_RCTIfilm yg ga ngebosenin pling enak di tonton tingkatkan trz RCTI tayangan TOP byk yg suka nonton bareng"" oke deh",1
train4,Tukang Ojek Pengkolan,(a)DepoxNax ,(a)TOP_RCTI pokoknya TOP mantab jiwa wkwkwk,1
train5,Tukang Ojek Pengkolan,(a)DepoxNax ,(a)TOP_RCTI mantap jiwa deh pokoknya,1
train6,Tukang Ojek Pengkolan,(a)Ekos19918781 ,(a)TOP_RCTI sedih banget klo acarane udahan krn blm puas lht mba ratna yg chantik... ,-1
train7,Tukang Ojek Pengkolan,(a)Ekos19918781 ,(a)TOP_RCTI kasihan mba Ratna jd cemburu lht bang Ojak sm tmn cwe baru'y... Yg sabar ya mba Ratna... hehee....,1
train8,Tukang Ojek Pengkolan,(a)arjunpratama87 ,(a)TOP_RCTI tukang ojek pengkolan membosankanterlalu dibuat2.terus lama banget kelarnya. Menjengkelkan.!!!!!,-1
train9,Tukang Ojek Pengkolan,(a)fandi08985811,(a)TOP_RCTI : hebat dan lucu haha,1
train10,Tukang Ojek Pengkolan,(a)om_jhony69 ,(a)TOP_RCTI kok hari ini episode TOP di ulangi....jdi nggak seru nontonnya,-1
train11,Tukang Ojek Pengkolan,(a)nidya_Gustina,wah gak sabar pengen nonton (a)TOP_RCTI,1
train12,Tukang Ojek Pengkolan,(a)A_F_R1993 ,(a)TOP_RCTI ngelucu tuh gak harus menghina fisik seseorang !! garing bgt !! ojak,-1
train13,Tukang Ojek Pengkolan,(a)Dodo27627092 ,(a)TOP_RCTI makin seru ajah,1
train14,Tukang Ojek Pengkolan,(a)albertusyolan10 ,"Sukses terus (a)TOP_RCTI menghibur dan menceritakan kehidupan sehari"". Smoga smpek ratusan ribu episode hhe #TOP #RCTI",1
train15,Tukang Ojek Pengkolan,(a)NisrinaZahrah,(a)TOP_RCTI seru bgt ????,1
train16,Tukang Ojek Pengkolan,(a)AdriantoLukman,(a)TOP_RCTI sipp banget acra e,1
train17,Tukang Ojek Pengkolan,(a)ErnaNazriel ,(a)TOP_RCTI abis maghrib emang paling pas nonton TOP yg keren dan lucu . . (a)OfficialRCTI Emang OK,1
train18,Tukang Ojek Pengkolan,(a)WSanjaya990 ,(a)TOP_RCTI gak lucu..lucuan dunia terbalik,-1
train19,Tukang Ojek Pengkolan,(a)RiauAdventure ,(a)TOP_RCTI bagus n Merakyat sinetron nya,1
train20,Tukang Ojek Pengkolan,(a)RudyVhariex ,"(a)TOP_RCTI tukang ojek pengkolan memang ""TOP""",1
train21,Dunia Terbalik,nadaristantia23,(a)DT_RCTI seneng pisan episode hari ini yg ke 158 full  aceng (a)sutansimatupang resep uy bersambungnya juga kang aceng #DuniaTerbalikRCTI,1
train22,Dunia Terbalik,nadaristantia23,(a)DT_RCTI asik uy hari ini bnyk kang acengnya cihuy (a)sutansimatupang #DuniaTerbalikRCTI,1
train23,Dunia Terbalik,HerryHerdians14,(a)dt_rcti kak dedeh cantik banget pke mukenaNya kwkwk (a)marshashari #DuniaTerbalikRcti,1
train24,Dunia Terbalik,alim_adrs,(a)IslamiatiYuli (a)DT_RCTI (a)sutansimatupang (a)Benk08905656 (a)birowo (a)aguskuncoroadi Ngantuk'nya jadi hilang :D #Mantab,1
train25,Dunia Terbalik,IslamiatiYuli,Kalo liat (a)DT_RCTI suka gak kontrol ketawa ?Ÿ˜Å?Ÿ˜„ apalagi kalo mereka ber 4 udah bersatu (a)sutansimatupang (a)Benk08905656 (a)birowo (a)aguskuncoroadi,1
train26,Dunia Terbalik,oellffah92,"Ketawa ketiwi bareng swami liat #DuniaTerbalikRCTI  (a)DT_RCTI  terbalik
  (a)Benk08905656 (a)sutansimatupang (a)aguskuncoroadi 
",1
train27,Dunia Terbalik,MUHAMMADAGUSAR7,"(a)DT_RCTI main nya jd gk tentu... jd males mw lihat
  kemalaman",-1
train28,Dunia Terbalik,andhy928,(a)DT_RCTI lama banget sponsornya Mqin filmnya cuma sebentar cuma berapa adegan saja sudah sponsor lagi makin gak seru kebanyakan sponsor bos.,-1
train29,Dunia Terbalik,zzatisalampessy,"Baru mulai aja udah di bikin ngakak.GaraÂ? ekspresi Aceng (a)sutansimatupang ngomong sama Idoy (a)Benk08905656 .Sampai keselek camilan.
  (a)DT_RCTI",1
train30,Dunia Terbalik,DwieOshop,(a)DT_RCTI Tayang malam jadi ga seru,-1
train31,Dunia Terbalik,rizal_septyan,(a)MemeComicIndo mendingan nonton (a)DT_RCTI malah terhibur aku min ?Ÿ˜‚?Ÿ˜Å,1
train32,Dunia Terbalik,dessrainbow,(a)DT_RCTI min ko dunia terbalik skrg tayangnya jdi makin malem ?? Ga sabar nungguin aceng dkk,-1
train33,Dunia Terbalik,SupperFanzz,#AkuPernah nyesel waktu itu gx nonton Dunia Terbalik (a)DT_RCTI (a)DT_mncp Eps. 1. Darisitu gua smpe skarang nonton trs gx prnah ktinggalan Eps.,1
train34,Dunia Terbalik,gadih11,(a)DT_RCTI.min dnia terblik koq skg tyang a kemalman.balikin lgi dong tayng a jam 19.00 soal sy gak ampe selsai nnton a.cos dah gntuk duluan.,-1
train35,Dunia Terbalik,RT (a)lintang696969: (a)DT_RCTI top pokoknya apa lg lihat si idoy wkwkwkwkw oooooooooooo emang hari Minggu gak boleh jemput anak ya hahah,,1
train36,Dunia Terbalik,HerryHerdians14,"(a)DT_RCTI yg ditunggu akhirnya maen jga wkwkwk
  #DunieTerbalikRcti
  #DramaSeriesTerbaik",1
