0,lucu,Tukang Ojek Pengkolan,1,1
1,lucu banget,Tukang Ojek Pengkolan,1,1
2,sore enak top,Tukang Ojek Pengkolan,1,-1
3,seru banget,Tukang Ojek Pengkolan,1,1
4,sebal nma sarah munafik bnget,Berkah Cinta,-1,1
5,bosan ngelihat muka sarah malas tidak layak perempuan,Berkah Cinta,-1,-1
6,kejam banget kejam cinta wanita pun jatuh,Berkah Cinta,-1,-1
7,sebal eh makan hati,Berkah Cinta,-1,-1
8,siap seru lucu,Dunia Terbalik,1,1
9,lucu menarik drama katain,Dunia Terbalik,1,1
10,seru enak hanya oke tokoh seru,Dunia Terbalik,1,1
11,mantap,Dunia Terbalik,1,1
12,cinta seru,Anak langit,1,1
13,iklan bosan,Anak langit,-1,-1
14,mantap,Anak langit,1,1
15,hayal tidak seru,Anak langit,-1,-1
